id,"code","name"
group_1,"1","Activo"
group_11,"11","Disponible"
group_1105,"1105","Caja"
group_1110,"1110","Bancos"
group_1115,"1115","Remesas en transito"
group_1120,"1120","Cuentas de ahorro"
group_1125,"1125","Fondos"
group_12,"12","Inversiones"
group_1205,"1205","Acciones"
group_1210,"1210","Cuotas o partes de interes social"
group_1215,"1215","Bonos"
group_1220,"1220","Cedulas"
group_1225,"1225","Certificados"
group_1230,"1230","Papeles comerciales"
group_1235,"1235","Titulos"
group_1240,"1240","Aceptaciones bancarias o financieras"
group_1245,"1245","Derechos fiduciarios"
group_1250,"1250","Derechos de recompra de inversiones negociadas (repos)"
group_1255,"1255","Obligatorias"
group_1260,"1260","Cuentas en participacion"
group_1295,"1295","Otras inversiones"
group_1299,"1299","Provisiones"
group_13,"13","Deudores"
group_1305,"1305","Clientes"
group_1310,"1310","Cuentas corrientes comerciales"
group_1315,"1315","Cuentas por cobrar a casa matriz"
group_1320,"1320","Cuentas por cobrar a vinculados economicos"
group_1325,"1325","Cuentas por cobrar a socios y accionistas"
group_1328,"1328","Aportes por cobrar"
group_1330,"1330","Anticipos y avances"
group_1332,"1332","Cuentas de operacion conjunta"
group_1335,"1335","Depositos"
group_1340,"1340","Promesas de compra venta"
group_1345,"1345","Ingresos por cobrar"
group_1350,"1350","Retencion sobre contratos"
group_1355,"1355","Anticipo de impuestos y contribuciones o saldos a favor"
group_1360,"1360","Reclamaciones"
group_1365,"1365","Cuentas por cobrar a trabajadores"
group_1370,"1370","Prestamos a particulares"
group_1380,"1380","Deudores varios"
group_1385,"1385","Derechos de recompra de cartera negociada"
group_1390,"1390","Deudas de dificil cobro"
group_1399,"1399","Provisiones"
group_14,"14","Inventarios"
group_1405,"1405","Materias primas"
group_1410,"1410","Productos en proceso"
group_1415,"1415","Obras de construccion en curso"
group_1417,"1417","Obras de urbanismo"
group_1420,"1420","Contratos en ejecucion"
group_1425,"1425","Cultivos en desarrollo"
group_1430,"1430","Productos terminados"
group_1435,"1435","Mercancias no fabricadas por la empresa"
group_1440,"1440","Bienes raices para la venta"
group_1445,"1445","Semovientes"
group_1450,"1450","Terrenos"
group_1455,"1455","Materiales, repuestos y accesorios"
group_1460,"1460","Envases y empaques"
group_1465,"1465","Inventarios en transito"
group_1499,"1499","Provisiones"
group_15,"15","Propiedades planta y equipo"
group_1504,"1504","Terrenos"
group_1506,"1506","Materiales proyectos petroleros"
group_1508,"1508","Construcciones en curso"
group_1512,"1512","Maquinaria y equipos en montaje"
group_1516,"1516","Construcciones y edificaciones"
group_1520,"1520","Maquinaria y equipo"
group_1524,"1524","Equipo de oficina"
group_1528,"1528","Equipo de computacion y comunicacion"
group_1532,"1532","Equipo medico - cientifico"
group_1536,"1536","Equipo de hoteles y restaurantes"
group_1540,"1540","Flota y equipo de transporte"
group_1544,"1544","Flota y equipo fluvial y/o maritimo"
group_1548,"1548","Flota y equipo aereo"
group_1552,"1552","Flota y equipo ferreo"
group_1556,"1556","Acueductos plantas y redes"
group_1560,"1560","Armamento de vigilancia"
group_1562,"1562","Envases y empaques"
group_1564,"1564","Plantaciones agricolas y forestales"
group_1568,"1568","Vias de comunicacion"
group_1572,"1572","Minas y canteras"
group_1576,"1576","Pozos artesianos"
group_1580,"1580","Yacimientos"
group_1584,"1584","Semovientes"
group_1588,"1588","Propiedades planta y equipo en transito"
group_1592,"1592","Depreciacion acumulada"
group_1596,"1596","Depreciacion diferida"
group_1597,"1597","Amortizacion acumulada"
group_1598,"1598","Agotamiento acumulado"
group_1599,"1599","Provisiones"
group_16,"16","Intangibles"
group_1605,"1605","Credito mercantil"
group_1610,"1610","Marcas"
group_1615,"1615","Patentes"
group_1620,"1620","Concesiones y franquicias"
group_1625,"1625","Derechos"
group_1630,"1630","Know how"
group_1635,"1635","Licencias"
group_1698,"1698","Amortizacion acumulada"
group_1699,"1699","Provisiones"
group_17,"17","Diferidos"
group_1705,"1705","Gastos pagados por anticipado"
group_1710,"1710","Cargos diferidos"
group_1715,"1715","Costos de exploracion por amortizar"
group_1720,"1720","Costos de explotacion y desarrollo"
group_1730,"1730","Cargos por correccion monetaria diferida"
group_1798,"1798","Amortizacion acumulada"
group_18,"18","Otros activos"
group_1805,"1805","Bienes de arte y cultura"
group_1895,"1895","Diversos"
group_1899,"1899","Provisiones"
group_19,"19","Valorizaciones"
group_1905,"1905","De inversiones"
group_1910,"1910","De propiedades planta y equipo"
group_1995,"1995","De otros activos"
group_2,"2","Pasivo"
group_21,"21","Obligaciones financieras"
group_2105,"2105","Bancos nacionales"
group_2110,"2110","Bancos del exterior"
group_2115,"2115","Corporaciones financieras"
group_2120,"2120","Compañias de financiamiento comercial"
group_2125,"2125","Corporaciones de ahorro y vivienda"
group_2130,"2130","Entidades financieras del exterior"
group_2135,"2135","Compromisos de recompra de inversiones negociadas"
group_2140,"2140","Compromisos de recompra de cartera negociada"
group_2145,"2145","Obligaciones gubernamentales"
group_2195,"2195","Otras obligaciones"
group_22,"22","Proveedores"
group_2205,"2205","Nacionales"
group_2210,"2210","Del exterior"
group_2215,"2215","Cuentas corrientes comerciales"
group_2220,"2220","Casa matriz"
group_2225,"2225","Compañias vinculadas"
group_23,"23","Cuentas por pagar"
group_2305,"2305","Cuentas corrientes comerciales"
group_2310,"2310","A casa matriz"
group_2315,"2315","A compañias vinculadas"
group_2320,"2320","A contratistas"
group_2330,"2330","Ordenes de compra por utilizar"
group_2335,"2335","Costos y gastos por  pagar"
group_2340,"2340","Instalamentos por pagar"
group_2345,"2345","Acreedores oficiales"
group_2350,"2350","Regalias por pagar"
group_2355,"2355","Deudas con accionistas o socios"
group_2360,"2360","Dividendos o participaciones por pagar"
group_2365,"2365","Retencion en la fuente"
group_2370,"2370","Retenciones y aportes de nomina"
group_2375,"2375","Cuotas por devolver"
group_2380,"2380","Acreedores varios"
group_24,"24","Impuestos, gravamenes y tasas"
group_2404,"2404","De renta y complementarios"
group_2408,"2408","Impuesto sobre las ventas por pagar"
group_2412,"2412","De industria y comercio"
group_2416,"2416","A la propiedad raiz"
group_2420,"2420","Derechos sobre instrumentos publicos"
group_2424,"2424","De valorizacion"
group_2428,"2428","De turismo"
group_2432,"2432","Tasa por utilizacion de puertos"
group_2436,"2436","De vehiculos"
group_2440,"2440","De espectaculos publicos"
group_2444,"2444","De hidrocarburos y minas"
group_2448,"2448","Regalias e impuestos a la pequeña y mediana mineria"
group_2452,"2452","A las exportaciones cafeteras"
group_2456,"2456","A las importaciones"
group_2460,"2460","Cuotas de fomento"
group_2464,"2464","De licores, cervezas y cigarrillos"
group_2468,"2468","Al sacrificio de ganado"
group_2472,"2472","Al azar y juegos"
group_2495,"2495","Otros"
group_25,"25","Obligaciones laborales"
group_2505,"2505","Salarios por pagar"
group_2510,"2510","Cesantias consolidadas"
group_2515,"2515","Intereses sobre cesantias"
group_2520,"2520","Prima de servicios"
group_2525,"2525","Vacaciones consolidadas"
group_2530,"2530","Prestaciones extralegales"
group_2532,"2532","Pensiones por pagar"
group_2535,"2535","Cuotas partes pensiones de jubilacion"
group_2540,"2540","Indemnizaciones laborales"
group_26,"26","Pasivos estimados y provisiones"
group_2605,"2605","Para costos y gastos"
group_2610,"2610","Para obligaciones laborales"
group_2615,"2615","Para obligaciones fiscales"
group_2620,"2620","Pensiones de jubilacion"
group_2625,"2625","Para obras de urbanismo"
group_2630,"2630","Para mantenimiento y reparaciones"
group_2635,"2635","Para contingencias"
group_2640,"2640","Para obligaciones de garantias"
group_2695,"2695","Provisiones diversas"
group_27,"27","Diferidos"
group_2705,"2705","Ingresos recibidos por anticipado"
group_2710,"2710","Abonos diferidos"
group_2715,"2715","Utilidad diferida en ventas a plazos"
group_2720,"2720","Credito por correccion monetaria diferida"
group_2725,"2725","Impuestos diferidos"
group_28,"28","Otros pasivos"
group_2805,"2805","Anticipos y avances recibidos"
group_2810,"2810","Depositos recibidos"
group_2815,"2815","Ingresos recibidos para terceros"
group_2820,"2820","Cuentas de operacion conjunta"
group_2825,"2825","Retenciones a terceros sobre contratos"
group_2830,"2830","Embargos judiciales"
group_2835,"2835","Acreedores del sistema"
group_2840,"2840","Cuentas en participacion"
group_2895,"2895","Diversos"
group_29,"29","Bonos y papeles comerciales"
group_2905,"2905","Bonos en circulacion"
group_2910,"2910","Bonos obligatoriamente convertibles en acciones"
group_2915,"2915","Papeles comerciales"
group_3,"3","Patrimonio"
group_31,"31","Capital social"
group_3105,"3105","Capital suscrito y pagado"
group_3110,"3110","Acciones, cuotas o partes de interes social propias readquiridas (db)"
group_3115,"3115","Aportes sociales"
group_3120,"3120","Capital asignado"
group_3125,"3125","Inversion suplementaria al capital asignado"
group_3130,"3130","Capital de personas naturales"
group_3135,"3135","Aportes del estado"
