"id","code","name"
classification_0111,"0111","Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas"
classification_0112,"0112","Cultivo de arroz"
classification_0113,"0113","Cultivo de hortalizas, raíces y tubérculos"
classification_0114,"0114","Cultivo de tabaco"
classification_0115,"0115","Cultivo de plantas textiles"
classification_0119,"0119","Otros cultivos transitorios n.c.p."
classification_0121,"0121","Cultivo de frutas tropicales y subtropicales"
classification_0122,"0122","Cultivo de plátano y banano"
classification_0123,"0123","Cultivo de café"
classification_0124,"0124","Cultivo de caña de azúcar"
classification_0125,"0125","Cultivo de flor de corte"
classification_0126,"0126","Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos"
classification_0127,"0127","Cultivo de plantas con las que se preparan bebidas"
classification_0128,"0128","Cultivo de especias y de plantas aromáticas y medicinales"
classification_0129,"0129","Otros cultivos permanentes n.c.p."
classification_0130,"0130","Propagación de plantas (actividades de los viveros, excepto viveros forestales)"
classification_0141,"0141","Cría de ganado bovino y bufalino"
classification_0142,"0142","Cría de caballos y otros equinos"
classification_0143,"0143","Cría de ovejas y cabras"
classification_0144,"0144","Cría de ganado porcino"
classification_0145,"0145","Cría de aves de corral"
classification_0149,"0149","Cría de otros animales n.c.p."
classification_0150,"0150","Explotación mixta (agrícola y pecuaria)"
classification_0161,"0161","Actividades de apoyo a la agricultura"
classification_0162,"0162","Actividades de apoyo a la ganadería"
classification_0163,"0163","Actividades posteriores a la cosecha"
classification_0164,"0164","Tratamiento de semillas para propagación"
classification_0170,"0170","Caza ordinaria y mediante trampas y actividades de servicios conexas"
classification_0210,"0210","Silvicultura y otras actividades forestales"
classification_0220,"0220","Extracción de madera"
classification_0230,"0230","Recolección de productos forestales diferentes a la madera"
classification_0240,"0240","Servicios de apoyo a la silvicultura"
classification_0311,"0311","Pesca marítima"
classification_0312,"0312","Pesca de agua dulce"
classification_0321,"0321","Acuicultura marítima"
classification_0322,"0322","Acuicultura de agua dulce"
classification_0510,"0510","Extracción de hulla (carbón de piedra)"
classification_0520,"0520","Extracción de carbón lignito"
classification_0610,"0610","Extracción de petróleo crudo"
classification_0620,"0620","Extracción de gas natural"
classification_0710,"0710","Extracción de minerales de hierro"
classification_0721,"0721","Extracción de minerales de uranio y de torio"
classification_0722,"0722","Extracción de oro y otros metales preciosos"
classification_0723,"0723","Extracción de minerales de níquel"
classification_0729,"0729","Extracción de otros minerales metalíferos no ferrosos n.c.p."
classification_0811,"0811","Extracción de piedra, arena, arcillas comunes, yeso y anhidrita"
classification_0812,"0812","Extracción de arcillas de uso industrial, caliza, caolín y bentonitas"
classification_0820,"0820","Extracción de esmeraldas, piedras preciosas y semipreciosas"
classification_0891,"0891","Extracción de minerales para la fabricación de abonos y productos químicos"
classification_0892,"0892","Extracción de halita (sal)"
classification_0899,"0899","Extracción de otros minerales no metálicos n.c.p."
classification_0910,"0910","Actividades de apoyo para la extracción de petróleo y de gas natural"
classification_0990,"0990","Actividades de apoyo para otras actividades de explotación de minas y canteras"
classification_1011,"1011","Procesamiento y conservación de carne y productos cárnicos"
classification_1012,"1012","Procesamiento y conservación de pescados, crustáceos y moluscos"
classification_1020,"1020","Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos"
classification_1030,"1030","Elaboración de aceites y grasas de origen vegetal y animal"
classification_1040,"1040","Elaboración de productos lácteos"
classification_1051,"1051","Elaboración de productos de molinería"
classification_1052,"1052","Elaboración de almidones y productos derivados del almidón"
classification_1061,"1061","Trilla de café"
classification_1062,"1062","Descafeinado, tostión y molienda del café"
classification_1063,"1063","Otros derivados del café"
classification_1071,"1071","Elaboración y refinación de azúcar"
classification_1072,"1072","Elaboración de panela"
classification_1081,"1081","Elaboración de productos de panadería"
classification_1082,"1082","Elaboración de cacao, chocolate y productos de confitería"
classification_1083,"1083","Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares"
classification_1084,"1084","Elaboración de comidas y platos preparados"
classification_1089,"1089","Elaboración de otros productos alimenticios n.c.p."
classification_1090,"1090","Elaboración de alimentos preparados para animales"
classification_1101,"1101","Destilación, rectificación y mezcla de bebidas alcohólicas"
classification_1102,"1102","Elaboración de bebidas fermentadas no destiladas"
classification_1103,"1103","Producción de malta, elaboración de cervezas y otras bebidas malteadas"
classification_1104,"1104","Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas"
classification_1200,"1200","Elaboración de productos de tabaco"
classification_1311,"1311","Preparación e hilatura de fibras textiles"
classification_1312,"1312","Tejeduría de productos textiles"
classification_1313,"1313","Acabado de productos textiles"
classification_1391,"1391","Fabricación de tejidos de punto y ganchillo"
classification_1392,"1392","Confección de artículos con materiales textiles, excepto prendas de vestir"
classification_1393,"1393","Fabricación de tapetes y alfombras para pisos"
classification_1394,"1394","Fabricación de cuerdas, cordeles, cables, bramantes y redes"
classification_1399,"1399","Fabricación de otros artículos textiles n.c.p."
classification_1410,"1410","Confección de prendas de vestir, excepto prendas de piel"
classification_1420,"1420","Fabricación de artículos de piel"
classification_1430,"1430","Fabricación de artículos de punto y ganchillo"
classification_1511,"1511","Curtido y recurtido de cueros; recurtido y teñido de pieles"
classification_1512,"1512","Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería"
classification_1513,"1513","Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales"
classification_1521,"1521","Fabricación de calzado de cuero y piel, con cualquier tipo de suela"
classification_1522,"1522","Fabricación de otros tipos de calzado, excepto calzado de cuero y piel"
classification_1523,"1523","Fabricación de partes del calzado"
classification_1610,"1610","Aserrado, acepillado e impregnación de la madera"
classification_1620,"1620","Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles"
classification_1630,"1630","Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción"
classification_1640,"1640","Fabricación de recipientes de madera"
classification_1690,"1690","Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería"
classification_1701,"1701","Fabricación de pulpas (pastas) celulósicas; papel y cartón"
classification_1702,"1702","Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón."
classification_1709,"1709","Fabricación de otros artículos de papel y cartón"
classification_1811,"1811","Actividades de impresión"
classification_1812,"1812","Actividades de servicios relacionados con la impresión"
classification_1820,"1820","Producción de copias a partir de grabaciones originales"
classification_1910,"1910","Fabricación de productos de hornos de coque"
